author_adjlist,author_metis,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
4662763       ,5885        ,0       ,1       ,0             ,1      ,0      ,1       ,0       ,0    ,0
984395        ,3385        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,1    ,4
1497606       ,6428        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,1    ,0
5750637       ,7897        ,0       ,1       ,0             ,0      ,1      ,0       ,1       ,0    ,0
5750637       ,7897        ,0       ,1       ,0             ,0      ,1      ,0       ,1       ,1    ,0
8983469       ,6530        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,0
634621        ,6632        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,0
8104132       ,4889        ,0       ,1       ,0             ,0      ,0      ,0       ,0       ,1    ,3
9042606       ,317         ,0       ,1       ,1             ,0      ,1      ,0       ,1       ,0    ,5
2043404       ,7441        ,0       ,1       ,1             ,1      ,0      ,0       ,1       ,0    ,1
3013640       ,6231        ,0       ,1       ,0             ,0      ,1      ,0       ,0       ,0    ,4
1578017       ,2666        ,0       ,0       ,0             ,1      ,0      ,1       ,0       ,1    ,1
4314483       ,7322        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,0
1559022       ,5671        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,1    ,7
1578017       ,2666        ,0       ,0       ,0             ,1      ,0      ,1       ,0       ,1    ,2
3089090       ,2364        ,1       ,0       ,0             ,1      ,0      ,1       ,0       ,0    ,0
6738798       ,6859        ,0       ,0       ,0             ,1      ,1      ,1       ,1       ,0    ,2
4329000       ,5557        ,0       ,1       ,1             ,0      ,0      ,0       ,1       ,1    ,0
7064329       ,4964        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
1559022       ,5671        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,0    ,18
2836663       ,5852        ,1       ,1       ,0             ,1      ,0      ,0       ,0       ,0    ,2
