author,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
2177231,0,0,0,1,1,0,1,0,0
8437691,1,1,0,1,1,0,1,0,1
2177231,0,0,0,1,1,1,1,0,3
1032748,0,0,1,0,0,1,1,0,0
7668808,0,1,1,0,1,0,1,0,2
2762543,0,0,0,1,1,0,1,0,0
8708803,1,0,0,1,1,1,0,1,1
3761410,0,0,0,0,1,0,0,0,0
1429640,0,0,0,1,0,1,1,0,0
8437691,1,1,0,1,0,0,1,0,3
6171860,0,0,1,0,0,0,0,0,0
4628250,0,1,1,0,0,0,0,0,0
3777336,0,0,0,0,0,0,0,0,2
820600,0,0,1,0,0,0,1,0,9
5844393,0,0,1,0,1,0,0,0,0
1518919,0,0,1,0,1,0,1,1,7
7907451,0,0,1,0,1,0,1,0,0
7797486,0,0,1,0,0,0,0,0,0
926860,0,0,1,0,1,0,1,0,2
8225880,0,0,1,0,0,0,1,0,0
1517257,0,0,0,0,1,1,1,0,0
6671529,0,1,1,0,1,0,0,0,0
1982529,0,0,1,0,0,1,1,0,3
2478937,0,1,0,0,0,0,0,0,0
4515113,0,0,0,1,1,0,0,1,1
3615039,0,1,1,1,0,0,0,0,0
4387978,0,0,0,0,1,0,1,0,0
1060870,0,1,1,0,1,0,1,0,0
6606519,0,1,0,0,1,1,0,0,0
7028851,0,0,0,0,1,1,1,0,1
1735489,0,0,1,0,1,0,1,0,0
-1,0,1,1,0,1,0,1,0,4
7284920,0,0,0,0,1,0,1,0,0
3655807,0,0,1,0,0,0,1,0,0
8437691,1,1,0,1,0,0,1,1,2
8437691,1,1,0,1,0,0,1,0,12
8437691,1,1,0,1,1,1,1,0,18
8277930,0,0,1,1,0,1,1,0,2
8416432,0,0,1,0,1,0,0,0,6
8484231,0,0,1,0,0,0,1,0,2
8828482,0,1,1,1,0,0,0,0,0
5257646,0,0,0,0,0,0,1,1,0
8708803,1,0,0,1,1,0,1,1,0
1087609,0,0,1,0,1,1,0,0,0
1777072,0,0,1,0,1,0,0,0,0
2807142,0,0,1,0,1,0,0,0,0
5208349,0,0,0,0,1,1,1,0,0
4312494,0,0,1,1,1,0,1,0,0
551416,0,0,1,1,1,0,1,1,0
4633622,0,0,1,0,0,0,0,0,0
7209437,0,0,1,0,0,0,0,0,0
8539678,0,0,1,1,1,0,0,0,0
1448310,0,1,0,1,1,1,0,0,0
3254294,0,0,1,1,1,0,1,0,0
820600,0,0,1,0,0,0,1,0,3
1236856,0,0,0,1,1,0,1,0,0
3705429,0,0,0,0,1,0,0,0,0
4244540,0,0,0,0,0,1,1,0,5
7784184,0,0,1,1,1,0,1,0,0
7632982,0,0,1,0,0,0,1,0,0
9129675,0,1,0,0,1,1,1,0,0
5614150,0,0,0,1,0,0,1,0,1
3742666,0,1,0,0,0,0,1,0,0
8316409,0,0,1,1,1,1,1,0,1
6665377,0,0,0,1,1,1,1,0,1
6686448,0,0,0,1,0,1,0,0,0
8437691,1,1,0,1,1,0,1,1,5
2026359,0,0,1,0,1,1,1,0,2
8437691,1,1,0,1,1,0,1,1,3
4494035,0,0,0,1,1,0,1,0,4
8437691,1,1,0,1,1,0,1,0,30
323619,0,0,0,0,1,0,1,0,20
1087609,0,0,1,0,1,1,0,0,0
75510,0,0,0,0,0,0,1,0,0
3754613,0,0,0,0,1,0,1,1,6
5871997,0,0,0,1,0,0,0,0,19
4060540,0,0,0,1,0,0,1,0,0
79682,0,0,0,1,1,0,0,0,0
6283317,0,0,0,1,0,0,0,0,0
2825978,0,0,1,0,0,0,0,0,0
6962909,0,0,0,0,0,0,0,0,0
186884,0,0,0,1,1,0,1,0,93
1060872,0,0,0,1,1,1,1,1,1
8437691,1,1,0,1,0,1,1,0,11
6238209,0,0,0,0,1,0,0,0,15
2762543,0,0,0,1,1,0,1,0,1
2398931,0,0,1,1,1,0,0,0,0
8688995,0,0,1,0,0,0,1,0,13
6603378,0,0,0,1,1,0,0,0,0
3462342,0,0,1,1,0,1,0,0,3
641743,0,0,0,0,1,0,1,0,2
5604603,0,0,1,0,1,0,0,0,0
7028851,0,0,0,0,0,1,0,0,0
4888104,0,0,1,0,0,0,0,0,0
873942,0,1,1,1,0,1,0,1,0
873942,0,1,1,1,0,1,0,1,0
